FL_DATE,CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,LAT,LONG,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,240,LAX,"Los Angeles, CA",33.942536,-118.408075,CA,DCA,"Washington, DC",VA,815,814,0,0,18,832,1536,8,1605,1544,-21,0,0,0,290,270,2311,,,,,
1/1/2015,AA,245,DCA,"Washington, DC",38.852083,-77.037722,VA,LAX,"Los Angeles, CA",CA,1705,1656,0,0,13,1709,1932,6,2000,1938,-22,0,0,0,355,342,2311,,,,,
1/1/2015,AA,252,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,DCA,"Washington, DC",VA,1335,1340,5,0,14,1354,1700,7,1715,1707,-8,0,0,0,160,147,1192,,,,,
1/1/2015,AA,1099,ORF,"Norfolk, VA",36.894611,-76.201222,VA,DFW,"Dallas/Fort Worth, TX",TX,705,701,0,0,28,729,944,11,945,955,10,10,0,0,220,234,1212,,,,,
1/1/2015,AA,1137,IAD,"Washington, DC",38.944533,-77.455811,VA,MIA,"Miami, FL",FL,1721,1719,0,0,11,1730,1943,34,2010,2017,7,7,0,0,169,178,921,,,,,
1/1/2015,AA,1137,MIA,"Miami, FL",25.79325,-80.290556,FL,IAD,"Washington, DC",VA,1405,1411,6,0,17,1428,1634,7,1637,1641,4,4,0,0,152,150,921,,,,,
1/1/2015,AA,1052,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,DCA,"Washington, DC",VA,1805,1820,15,1,10,1830,2134,5,2140,2139,-1,0,0,0,155,139,1192,,,,,
1/1/2015,AA,1276,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,RIC,"Richmond, VA",VA,1840,2012,92,1,11,2023,2329,8,2220,2337,77,77,0,0,160,145,1158,0,2,0,0,75
1/1/2015,AA,1295,DCA,"Washington, DC",38.852083,-77.037722,VA,MIA,"Miami, FL",FL,2100,2233,93,1,10,2243,53,4,2337,57,80,80,0,0,157,144,919,80,0,0,0,0
1/1/2015,AA,1299,DCA,"Washington, DC",38.852083,-77.037722,VA,MIA,"Miami, FL",FL,1250,1248,0,0,14,1302,1514,8,1529,1522,-7,0,0,0,159,154,919,,,,,
