route,origin,destination,count,count_cancelled,count_diverted,TOTAL_CARRIER_DELAY,TOTAL_ARR_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,TOTAL_NAS_DELAY,TOTAL_SECURITY_DELAY,TOTAL_WEATHER_DELAY,TOTAL_AVG_CARRIER_DELAY,TOTAL_AVG_ARR_DELAY,TOTAL_AVG_LATE_AIRCRAFT_DELAY,TOTAL_AVG_NAS_DELAY,TOTAL_AVG_SECURITY_DELAY,TOTAL_AVG_WEATHER_DELAY,AA_count,AS_count,B6_count,DL_count,EV_count,F9_count,MQ_count,OO_count,UA_count,US_count,VX_count,WN_count,AA_cancelled,AS_cancelled,B6_cancelled,DL_cancelled,EV_cancelled,F9_cancelled,MQ_cancelled,OO_cancelled,UA_cancelled,US_cancelled,VX_cancelled,WN_cancelled,AA_CARRIER_DELAY,AS_CARRIER_DELAY,B6_CARRIER_DELAY,DL_CARRIER_DELAY,EV_CARRIER_DELAY,F9_CARRIER_DELAY,MQ_CARRIER_DELAY,OO_CARRIER_DELAY,UA_CARRIER_DELAY,US_CARRIER_DELAY,VX_CARRIER_DELAY,WN_CARRIER_DELAY,AA_ARR_DELAY,AS_ARR_DELAY,B6_ARR_DELAY,DL_ARR_DELAY,EV_ARR_DELAY,F9_ARR_DELAY,MQ_ARR_DELAY,OO_ARR_DELAY,UA_ARR_DELAY,US_ARR_DELAY,VX_ARR_DELAY,WN_ARR_DELAY,AA_LATE_AIRCRAFT_DELAY,AS_LATE_AIRCRAFT_DELAY,B6_LATE_AIRCRAFT_DELAY,DL_LATE_AIRCRAFT_DELAY,EV_LATE_AIRCRAFT_DELAY,F9_LATE_AIRCRAFT_DELAY,MQ_LATE_AIRCRAFT_DELAY,OO_LATE_AIRCRAFT_DELAY,UA_LATE_AIRCRAFT_DELAY,US_LATE_AIRCRAFT_DELAY,VX_LATE_AIRCRAFT_DELAY,WN_LATE_AIRCRAFT_DELAY,AA_NAS_DELAY,AS_NAS_DELAY,B6_NAS_DELAY,DL_NAS_DELAY,EV_NAS_DELAY,F9_NAS_DELAY,MQ_NAS_DELAY,OO_NAS_DELAY,UA_NAS_DELAY,US_NAS_DELAY,VX_NAS_DELAY,WN_NAS_DELAY,AA_SECURITY_DELAY,AS_SECURITY_DELAY,B6_SECURITY_DELAY,DL_SECURITY_DELAY,EV_SECURITY_DELAY,F9_SECURITY_DELAY,MQ_SECURITY_DELAY,OO_SECURITY_DELAY,UA_SECURITY_DELAY,US_SECURITY_DELAY,VX_SECURITY_DELAY,WN_SECURITY_DELAY,AA_WEATHER_DELAY,AS_WEATHER_DELAY,B6_WEATHER_DELAY,DL_WEATHER_DELAY,EV_WEATHER_DELAY,F9_WEATHER_DELAY,MQ_WEATHER_DELAY,OO_WEATHER_DELAY,UA_WEATHER_DELAY,US_WEATHER_DELAY,VX_WEATHER_DELAY,WN_WEATHER_DELAY
BDL-IAD,BDL,IAD,76,6,0,70,16,16,16,16,24,19.5625,19.17142857,47.0625,43.3125,0,1.5,,,,,76,,,,,,,,,,,,6,,,,,,,,,,,,19.5625,,,,,,,,,,,,19.17142857,,,,,,,,,,,,47.0625,,,,,,,,,,,,43.3125,,,,,,,,,,,,0,,,,,,,,,,,,1.5,,,,,,,
BNA-DCA,BNA,DCA,88,8,0,80,6,6,6,6,42,1.5,-9.35,28.33333333,7,0,7,,,,,,,,,,,,88,,,,,,,,,,,,8,,,,,,,,,,,,1.5,,,,,,,,,,,,-9.35,,,,,,,,,,,,28.33333333,,,,,,,,,,,,7,,,,,,,,,,,,0,,,,,,,,,,,,7
BNA-IAD,BNA,IAD,22,0,0,22,2,2,2,2,0,14,-5.727272727,22.5,9,0,0,,,,,22,,,,,,,,,,,,0,,,,,,,,,,,,14,,,,,,,,,,,,-5.727272727,,,,,,,,,,,,22.5,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
BOS-DCA,BOS,DCA,671,64,1,606,142,142,142,142,258,11.24647887,5.787128713,10.74647887,25.30985915,0,1.816901408,,,276,,,,,,,395,,,,,25,,,,,,,39,,,,,11.0754717,,,,,,,11.34831461,,,,,2.772908367,,,,,,,7.918309859,,,,,7.811320755,,,,,,,12.49438202,,,,,28.50943396,,,,,,,23.40449438,,,,,0,,,,,,,0,,,,,1.528301887,,,,,,,1.988764045,,
BOS-IAD,BOS,IAD,126,7,0,119,25,25,25,25,16,24.12,6.857142857,23.4,16.76,0,0.64,,,81,,,,,,45,,,,,,5,,,,,,2,,,,,,23.64705882,,,,,,25.125,,,,,,6.631578947,,,,,,7.255813953,,,,,,20,,,,,,30.625,,,,,,16,,,,,,18.375,,,,,,0,,,,,,0,,,,,,0.941176471,,,,,,0,,,
BOS-RIC,BOS,RIC,193,17,1,175,46,46,46,46,84,17.73913043,9.308571429,20.7173913,16.10869565,0,1.826086957,,,125,,68,,,,,,,,,,9,,8,,,,,,,,,,7.714285714,,33.33333333,,,,,,,,,,6.413793103,,15,,,,,,,,,,26.82142857,,11.22222222,,,,,,,,,,15.85714286,,16.5,,,,,,,,,,0,,0,,,,,,,,,,3,,0,,,,,,,
BTR-DCA,BTR,DCA,1,0,0,1,,,,,,,12,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTV-IAD,BTV,IAD,7,0,0,7,4,4,4,4,0,29.75,25.14285714,0,10.75,0,0,,,,,7,,,,,,,,,,,,0,,,,,,,,,,,,29.75,,,,,,,,,,,,25.14285714,,,,,,,,,,,,0,,,,,,,,,,,,10.75,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
BUF-IAD,BUF,IAD,25,1,0,24,4,4,4,4,0,0,-3.458333333,34.25,4.75,0,0,,,,,25,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,-3.458333333,,,,,,,,,,,,34.25,,,,,,,,,,,,4.75,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
BWI-ORF,BWI,ORF,89,0,0,89,28,28,28,28,262,14.53571429,12.65168539,18.35714286,7,0,9.357142857,,,,,,,,,,,,89,,,,,,,,,,,,0,,,,,,,,,,,,14.53571429,,,,,,,,,,,,12.65168539,,,,,,,,,,,,18.35714286,,,,,,,,,,,,7,,,,,,,,,,,,0,,,,,,,,,,,,9.357142857
CAE-IAD,CAE,IAD,86,2,0,84,20,20,20,20,0,34.8,16.16666667,54.1,11.95,0,0,,,,,86,,,,,,,,,,,,2,,,,,,,,,,,,34.8,,,,,,,,,,,,16.16666667,,,,,,,,,,,,54.1,,,,,,,,,,,,11.95,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
CAK-DCA,CAK,DCA,31,0,0,31,6,6,6,6,0,29.16666667,3.096774194,36.5,3.833333333,0,0,,,,,,,,,,,,31,,,,,,,,,,,,0,,,,,,,,,,,,29.16666667,,,,,,,,,,,,3.096774194,,,,,,,,,,,,36.5,,,,,,,,,,,,3.833333333,,,,,,,,,,,,0,,,,,,,,,,,,0
CHO-ATL,CHO,ATL,85,0,0,85,11,11,11,11,0,4.636363636,-0.858823529,39.09090909,11.90909091,0,0,,,,24,61,,,,,,,,,,,0,0,,,,,,,,,,,0,6.375,,,,,,,,,,,-5.958333333,1.147540984,,,,,,,,,,,0,53.75,,,,,,,,,,,33.33333333,3.875,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,,
CHO-LGA,CHO,LGA,54,9,0,45,14,14,14,14,0,14.71428571,16.95555556,22.42857143,34.92857143,0,0,,,,,23,,31,,,,,,,,,,4,,5,,,,,,,,,,28.25,,9.3,,,,,,,,,,4.210526316,,26.26923077,,,,,,,,,,0,,31.4,,,,,,,,,,33.25,,35.6,,,,,,,,,,0,,0,,,,,,,,,,0,,0,,,,,
